"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"167","a_psu[150]",-0.041089239447,-0.03781415,1.00166446189152,1.03246507119,-1.6659555,1.616949,1.00730452164552,3282.46494269484,1314.64193896399
"168","a_psu[151]",-0.04591111982,-0.0551594,1.01454251232166,1.04172279624,-1.7024625,1.578244,1.00076757790812,4598.14322815632,1345.78746674438
"169","a_psu[152]",-0.055364033801,-0.0465693,0.993556666094036,0.97077356628,-1.681093,1.6143295,1.00130241068397,2572.59171969434,1356.3612426153
"170","a_psu[153]",0.031593411054,0.0159976,0.998330642996501,1.0502945964,-1.6482175,1.6889805,1.00102182636292,4589.70641879017,1568.50940128024
"171","a_psu[154]",-0.0698547056235,-0.0707491,1.00176405593081,0.9915028347,-1.7655625,1.617378,1.00200475955094,3717.07100508841,1246.98377632271
"172","a_psu[155]",-0.065392434799,-0.06693005,1.02169544872446,1.01739725913,-1.763411,1.6151465,1.00115868880324,3815.59674152421,1586.64505457157
"173","a_psu[156]",-0.034327968676,-0.03862325,0.969187031921612,1.01149087725,-1.641479,1.5482145,1.00646104927213,2939.03208958554,1405.80966585914
"174","a_psu[157]",-0.08229860889,-0.07437795,0.996592307878351,1.0016512317,-1.707666,1.5503695,1.00235826118973,2897.56303213508,1303.78255345136
"175","a_psu[158]",-0.050252528833,-0.03749335,0.992683581798449,0.98620231731,-1.6720465,1.6308095,1.0036646104937,4922.85609216081,1482.28096035295
"176","a_psu[159]",0.02253335233,0.022041,0.954615699588197,0.935023929,-1.6079625,1.6420805,1.00364137988445,3724.63684400824,1510.82176044487
"177","a_psu[160]",-0.024424400085,-0.0116513,1.02234477034656,0.96997592748,-1.6689455,1.6209795,1.00723782219525,3111.75716962512,1330.13768223219
"178","a_psu[161]",-0.0175242437455,-0.068115,1.00445369833267,1.0021938633,-1.637478,1.702735,1.00352195903199,2627.80054527544,1496.82093703034
"179","a_psu[162]",-0.045285507685,-0.0517155,1.02852944778639,1.0423574973,-1.777356,1.6542095,1.00676351371895,4391.13258941405,1306.06606659368
"180","a_psu[163]",0.3763290871515,0.380114,1.00679218834273,1.0297754124,-1.248797,1.99151,1.00129385428922,2162.12877615775,1372.73760903388
