"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"117","a_psu[99]",-0.1646428060735,-0.122866,1.01165076008119,1.0304188608,-1.8163445,1.417495,1.00316448597691,4277.91853079736,1537.1399627146
"118","a_psu[100]",-0.1099476839595,-0.112744,0.983069059359976,0.9741786537,-1.7279975,1.525764,0.999614645502313,3865.41338844043,1434.71959540951
"119","a_psu[101]",-0.200412821243,-0.2020395,0.946232514225104,0.9406978392,-1.784043,1.3535395,1.00488614365523,4132.30170182843,1522.80732222023
"120","a_psu[102]",0.0105174590985,0.0014496435,0.923491369715197,0.9403084439469,-1.4928475,1.5638275,1.00176993462417,3502.62773230169,1499.85947413484
"121","a_psu[103]",0.274075352865,0.272234,0.922935000456849,0.9177679476,-1.271362,1.788482,0.999892816808791,2464.78620960182,1365.49138788659
"122","a_psu[104]",0.009834789171,0.03449005,0.820395846181255,0.77053086747,-1.3692605,1.383831,0.99916700250104,3591.56074577335,1444.5512982397
"123","a_psu[105]",-0.281737231576,-0.278052,0.945843927409401,0.9569627025,-1.8779905,1.30994,0.999495159763369,5757.89921851655,1632.0096712679
"124","a_psu[106]",-0.1858220814415,-0.169299,0.930866851275284,0.9410788674,-1.744097,1.349669,0.999686707810393,3942.86951682651,1431.25982449349
"125","a_psu[107]",-0.13224518755275,-0.1252005,0.961986281554678,0.9997876035,-1.692167,1.4227365,1.00138818610512,4546.78257240801,1398.61826175956
"126","a_psu[108]",0.4228027458765,0.4392085,0.884091371234477,0.862547028,-1.031597,1.8881745,1.00061049442724,2401.60554020703,1347.75544300791
"127","a_psu[109]",0.17841175533,0.189266,0.848527821828459,0.8386823571,-1.2410235,1.5545925,1.00747207315511,4370.59720102691,1151.6629694076
"128","a_psu[110]",-0.161701888591,-0.147443,0.984578707438128,0.9528685026,-1.827931,1.4747395,1.00049784138021,4123.9190528105,1527.53543875577
"129","a_psu[111]",-0.295985724387,-0.275384,0.880802281505961,0.9169265721,-1.7205785,1.1310905,1.0010569998992,5133.63756616981,1816.41144394786
"130","a_psu[112]",0.39040599454,0.3913915,0.907058005942186,0.9386763141,-1.034716,1.8545985,0.999416939215685,3710.41828774141,1523.990053038
"131","a_psu[113]",-0.064866053545,-0.0668494,0.977137816206524,0.96225691884,-1.662136,1.4996655,1.00179217116473,2666.74629924385,1269.62358605333
